stem,image,mask,img_w,img_h,mask_w,mask_h,uniq_count,min_label,max_label,error
000000016206_4014,data/train_dataset/img/train/000000016206_4014.jpg,data/train_dataset/labels/train/000000016206_4014.png,256,256,256,256,2,0,2,
000000016823_4560,data/train_dataset/img/train/000000016823_4560.jpg,data/train_dataset/labels/train/000000016823_4560.png,256,256,256,256,2,0,1,
000000022129_2200,data/train_dataset/img/train/000000022129_2200.jpg,data/train_dataset/labels/train/000000022129_2200.png,256,256,256,256,2,0,1,
000000023511_6910,data/train_dataset/img/train/000000023511_6910.jpg,data/train_dataset/labels/train/000000023511_6910.png,256,256,256,256,2,0,1,
000000023731_404,data/train_dataset/img/train/000000023731_404.jpg,data/train_dataset/labels/train/000000023731_404.png,256,256,256,256,2,0,1,
000000024497_3808,data/train_dataset/img/train/000000024497_3808.jpg,data/train_dataset/labels/train/000000024497_3808.png,256,256,256,256,2,0,1,
000000025123_1462,data/train_dataset/img/train/000000025123_1462.jpg,data/train_dataset/labels/train/000000025123_1462.png,256,256,256,256,2,0,1,
000000026730_391,data/train_dataset/img/train/000000026730_391.jpg,data/train_dataset/labels/train/000000026730_391.png,256,256,256,256,2,0,2,
000000028253_7169,data/train_dataset/img/train/000000028253_7169.jpg,data/train_dataset/labels/train/000000028253_7169.png,256,256,256,256,2,0,2,
000000030752_6513,data/train_dataset/img/train/000000030752_6513.jpg,data/train_dataset/labels/train/000000030752_6513.png,256,256,256,256,2,0,2,
000000031865_4082,data/train_dataset/img/train/000000031865_4082.jpg,data/train_dataset/labels/train/000000031865_4082.png,256,256,256,256,2,0,1,
000000034825_4369,data/train_dataset/img/train/000000034825_4369.jpg,data/train_dataset/labels/train/000000034825_4369.png,256,256,256,256,2,0,1,
000000036962_1585,data/train_dataset/img/train/000000036962_1585.jpg,data/train_dataset/labels/train/000000036962_1585.png,256,256,256,256,2,0,1,
000000037477_5033,data/train_dataset/img/train/000000037477_5033.jpg,data/train_dataset/labels/train/000000037477_5033.png,256,256,256,256,2,0,1,
000000040466_5639,data/train_dataset/img/train/000000040466_5639.jpg,data/train_dataset/labels/train/000000040466_5639.png,256,256,256,256,2,0,2,
