,dish_id,total_calories,total_mass,ingredients,split
1307,dish_1561481577,-0.25494918312621795,-1.169534797939777,bacon,train
609,dish_1564588719,-0.14943744462271102,-0.8836208292767288,"chilaquiles,sausage",train
2367,dish_1561579902,0.7292841456262307,0.1950545979520438,"olive oil,rosemary,lemon juice,butter,pepper,chard,spinach (cooked),shallots,chicken,millet,bok choy,walnuts,mushroom,wheat berry,thyme,onions,basil,olives,salt,garlic,white wine,mustard,blueberries,beef,arugula,vinegar,oregano,cream",train
3023,dish_1560370833,-0.3655149386083507,-0.7666560239145728,"ice cream cones,frozen yogurt",train
695,dish_1565034330,1.7201514649514331,1.7285931571447568,"soy sauce,garlic,white rice,chili,orange juice,olive oil,onions,green onions,kale,salt,cauliflower,vinegar,broccoli,beef,roasted potatoes",train
2080,dish_1566936323,0.5474233881961303,0.6564157746583261,"chive,chicken thighs,wine,white beans,eggplant,lemon juice,snow peas,olive oil,pepper,spinach (cooked),quinoa,salt,fish,artichokes,lime,cauliflower,squash,parsley,mushroom,arugula,onions,shallots,garlic,bell peppers",train
310,dish_1562170163,-0.9549398912610032,-0.7146716659758368,pineapple,train
2664,dish_1556575083,-1.0789308835929299,-0.9940875898965429,brussels sprouts,train
1327,dish_1563813806,-0.823121931743957,-0.39626747360107856,egg whites,train
2711,dish_1559846334,-0.6081087128660553,0.10408197155925573,"pears,broccoli",train
1081,dish_1560356355,0.22916422540919987,-0.44825183153981457,"bacon,spinach (raw),vinegar,olive oil,mustard greens,mustard,cucumbers,yam,tomatoes,garlic,salt",train
2193,dish_1558639588,-0.6308785943279333,-1.273503513817249,almonds,train
2278,dish_1566413510,2.3757457426523394,1.2672319804384744,"spinach (raw),parmesan cheese,olive oil,chicken,avocado,olives,broccoli",train
698,dish_1562614121,-0.6208967610562178,-0.40276551834342056,"broccoli,salt,olive oil,mustard,onions,cranberries,vinegar,spinach (raw),apple",train
2847,dish_1563568025,-0.04106061218334405,0.1950545979520438,"fish,cherry tomatoes,salt,bok choy,wheat berry,olive oil,chard,parsley,kale,lemon juice,chive,garlic,shallots,corn on the cob",train
2790,dish_1565981848,-0.506747145687141,-0.1233495944227144,"carrot,parsley,salt,lemon juice,chive,garlic,olive oil,shallots,wheat berry,cherry tomatoes,tofu,pepper,fish,chard",train
1436,dish_1558637896,-0.8052248103747245,-0.6107029500983647,grapes,train
3171,dish_1565884833,1.1652154658758993,2.7682803159194775,"watermelon,egg whites,waffles,salsa",train
2564,dish_1562949205,-0.8274172030739333,-1.039573903092937,"cantaloupe,bacon",train
2915,dish_1565799507,-0.8539921762337463,-0.9031149635037549,"sweet potato,olive oil",train
2401,dish_1558381819,-1.1047981344951256,-0.9875895451542009,tomatoes,train
319,dish_1563824279,-0.9305998676693619,-0.8966169187614129,"onions,olives",train
1986,dish_1563303386,0.09803590016436166,0.00661130042412568,"wheat berry,parsley,pepper,spinach (raw),roasted potatoes,chicken,salt,garlic,shallots,carrot,olive oil,lemon juice,thyme",train
1698,dish_1559062082,0.6408594730989433,0.610929461461932,"watermelon,eggs,turkey bacon,sweet potato",train
1939,dish_1561662532,-0.4158534726965721,-0.16883590761910844,"tofu,onions,cucumbers,salt,lettuce,lime,mixed greens,cherry tomatoes,pepper,green beans,corn on the cob,vinegar,olive oil",train
1724,dish_1568318286,-1.0565953190007664,-0.6626873080371007,mixed greens,train
2412,dish_1560543704,-0.5420661373472223,-0.36377724988936855,"roasted potatoes,cauliflower",train
1086,dish_1562959295,-1.1957630426493415,-1.2864996033019331,radishes,train
969,dish_1562875211,0.1367345579235919,-0.4547498762821566,"pizza,caesar salad",train
259,dish_1563811686,0.31421804197482284,0.7408903563087721,"scrambled eggs,strawberries,olive oil,salt,pepper,sweet potato,brussels sprouts",train
1687,dish_1567801520,3.1761706483858623,2.488864391998771,"white rice,sugar,garlic,soy sauce,caesar salad,salt,bok choy,pepper,pork",train
951,dish_1558721533,-1.121024818480405,-1.0525699925776208,cantaloupe,train
